,name,link,city,state
0,The Juneau Empire,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AK_JE,Juneau,Alaska
1,Anchorage Daily News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AK_ADN,Anchorage,Alaska
2,Fairbanks Daily News-Miner,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AK_FDNM,Fairbanks,Alaska
3,The Decatur Daily,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_DD,Decatur,Ala.
4,The Tuscaloosa News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_TN,Tuscaloosa,Ala.
5,Dothan Eagle,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_DE,Dothan,Ala.
6,TimesDaily,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_TD,Florence,Ala.
7,Montgomery Advertiser,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_MA,Montgomery,Ala.
8,Opelika-Auburn News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AL_OAN,Opelika,Ala.
9,Arkansas Democrat-Gazette,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AR_ADG,Little Rock,Ark.
10,The Sentinel-Record,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AR_SR,Hot Springs,Ark.
11,The Baxter Bulletin,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AR_BB,Mountain Home,Ark.
12,The Daily Courier,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AZ_DC,Prescott,Ariz.
13,The Kingman Daily Miner,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AZ_KDM,Kingman,Ariz.
14,Today's News-Herald,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AZ_TNH,Lake Havasu City,Ariz.
15,Arizona Daily Star,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AZ_ADS,Tucson,Ariz.
16,The Arizona Republic,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=AZ_AR,Phoenix,Ariz.
17,Orange County Register,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_OCR,Santa Ana,Calif.
18,Marin Independent Journal,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_MIJ,San Rafael,Calif.
19,The Mercury News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_MN,San Jose,Calif.
20,The San Diego Union-Tribune,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_SDUT,San Diego,Calif.
21,The Sun,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_TS,San Bernardino,Calif.
22,The Santa Cruz Sentinel,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_SCS,Santa Cruz,Calif.
23,The Epoch Times: Chinese Edition ,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_ET,San Francisco,Calif.
24,San Francisco Chronicle,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_SFC,San Francisco,Calif.
25,Ventura County Star,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_VCS,Ventura,Calif.
26,East Bay Times,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_EBT,Walnut Creek,Calif.
27,San Gabriel Valley Tribune,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_SGVT,West Covina,Calif.
28,The Sacramento Bee,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_SB,Sacramento,Calif.
29,Visalia Times-Delta,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_VTD,Visalia,Calif.
30,The Daily Press,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_TDP,Victorville,Calif.
31,Daily Breeze,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_DB,Torrance,Calif.
32,Tulare Advance-Register,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_TAR,Tulare,Calif.
33,The Record,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_TR,Stockton,Calif.
34,Inland Valley Daily Bulletin,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_IVDB,Ontario,Calif.
35,Daily News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_DN,Los Angeles,Calif.
36,Los Angeles Times,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_LAT,Los Angeles,Calif.
37,The Press-Enterprise,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_PE,Riverside,Calif.
38,Press-Telegram,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_PT,Long Beach,Calif.
39,The Union,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_TU,Grass Valley,Calif.
40,Enterprise-Record,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_ER,Chico,Calif.
41,The Fresno Bee,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_FB,Fresno,Calif.
42,Merced Sun-Star,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_MSS,Merced,Calif.
43,La Opinión,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_LO,Los Angeles,Calif.
44,The Daily Post,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_DP,Palo Alto,Calif.
45,The Modesto Bee,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_MB,Modesto,Calif.
46,Record Searchlight,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_RS,Redding,Calif.
47,The Desert Sun,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_DS,Palm Springs,Calif.
48,Pasadena Star-News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_PSN,Pasadena,Calif.
49,Napa Valley Register,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_NVR,Napa,Calif.
50,The Herald,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CA_MCH,Monterey,Calif.
51,The Daily Sentinel,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CO_DS,Grand Junction,Colo.
52,Summit Daily News,/todaysfrontpages/?tfp_display=list&tfp_region=USA&tfp_sort_by=state&tfp_id=CO_SDN,Frisco,Colo.
